"Gene" "GATAdSY" "GATAdNS" "CG11504SY" "CG11504NS" "Cf2.IISY" "Cf2.IINS" "jimSY" "jimNS" "MitfSY" "MitfNS" "CG5953SY" "CG5953NS" "MadSY" "MadNS" "TrlSY" "TrlNS" "CG3407SY" "CG3407NS" "CG12236.PBSY" "CG12236.PBNS" "HLHmbetaSY" "HLHmbetaNS" "jigr1SY" "jigr1NS" "Deaf1SY" "Deaf1NS" "MedSY" "MedNS" "lolaSY" "lolaNS" "HgtxSY" "HgtxNS" "MetSY" "MetNS" "Aef1SY" "Aef1NS" "netSY" "netNS" "CG3838SY" "CG3838NS" "ExdSY" "ExdNS" "ttk.PFSY" "ttk.PFNS" "CG15601SY" "CG15601NS" "Lag1SY" "Lag1NS" "aseSY" "aseNS" "atoSY" "atoNS" "D19ASY" "D19ANS" "srpSY" "srpNS" "ftz.f1SY" "ftz.f1NS" "brSY" "brNS" "ClkSY" "ClkNS" "lunaSY" "lunaNS" "brkSY" "brkNS" "catoSY" "catoNS" "tgoSY" "tgoNS" "Hr78SY" "Hr78NS" "HandSY" "HandNS" "Fer3SY" "Fer3NS" "AchiSY" "AchiNS" "br.Z4SY" "br.Z4NS" "pnrSY" "pnrNS" "br.Z2SY" "br.Z2NS" "CG9437SY" "CG9437NS" "br.Z1SY" "br.Z1NS" "Eip74EFSY" "Eip74EFNS" "OliSY" "OliNS" "Xrp1SY" "Xrp1NS" "deiSY" "deiNS" "zSY" "zNS" "CtSY" "CtNS" "MioSY" "MioNS" "apSY" "apNS" "EcRSY" "EcRNS" "br.PLSY" "br.PLNS" "lola.PASY" "lola.PANS" "lola.PCSY" "lola.PCNS" "lola.PDSY" "lola.PDNS" "foxoSY" "foxoNS" "Cf2.PASY" "Cf2.PANS" "MaxSY" "MaxNS" "lola.PJSY" "lola.PJNS" "lola.PLSY" "lola.PLNS" "br.PASY" "br.PANS" "lola.POSY" "lola.PONS" "lola.PQSY" "lola.PQNS" "lola.PTSY" "lola.PTNS" "lola.PUSY" "lola.PUNS" "lola.PWSY" "lola.PWNS" "lola.PYSY" "lola.PYNS" "panSY" "panNS" "sqzSY" "sqzNS" "Adf1SY" "Adf1NS" "br.Z3SY" "br.Z3NS" "l.1.scSY" "l.1.scNS" "Cf2.PBSY" "Cf2.PBNS" "kaySY" "kayNS" "CG11294SY" "CG11294NS" "exdSY" "exdNS" "lola.PGSY" "lola.PGNS" "ApSY" "ApNS" "scSY" "scNS" "sdSY" "sdNS" "Length" "Set"
"6910" "CG11882" 0 0 0 0 2.333 0 2.667 0.333 0.333 0 0 0 0 0 0 0 0.333 0 1 0 0 0 0 0 1.667 0.333 0 0 0 0 0.333 0 0.333 0 1.667 2.333 0 0 0 0 1 0 0.667 0 0.333 0 0 0 0 0.333 1.333 0 0.333 0 0 0 0.333 0 0.333 0 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0 0 0.667 0 6.667 0 1 0 0 0 0.333 0 0.333 0.333 0 0 0 0 0.667 0 0 0 0.333 0 0.667 0 0.667 0 8.333 1.667 0.333 0 0 0 0.333 0 0.333 0 0 0 0.333 0 0 0 0 0 0 0 0 0 1 0 0.333 0 0.667 0 0 0 0 0 0.667 0.333 0 0 1 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 2.333 0 4.333 0.667 0 0 1.667 0.333 0 0 0.333 0 3 "Control"
"708" "CG11902" 0 0 0.5 0 2 0 0 0 0 0 0 0 0 0.5 0 0 0 0 1 0 0 0 0 0 1.5 3 0 0 1 0 0.5 1 0 0 0 1 0.5 0 0 0 3.5 2 0 0 0.5 0 0 0 0.5 0 1 0 0 0 0 0 1 1.5 0 0 0 0 0 0 0 1.5 0 0 0 0 0.5 0.5 0 1 0 0 0.5 0.5 2.5 1.5 1 0.5 0 2 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0.5 1 1 0 0 1.5 4 0 0 0.5 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 2.5 1.5 0 0 0 0.5 1 1 0 0 0 0 0 0 2.5 0 9.5 3 1.5 0 2 1 0 0 0 0 2 "Control"
"7110" "CG12079" 0 0 0 0 1 0.5 0 0 0 0 0.167 0 0.167 0 0.333 0.667 0.167 0 0.5 0 0 0 0.167 0 2 1 0 0.167 0.167 0 1 0 0.167 0 1.333 0.333 0 0 0.167 0 0.833 0 0 0 0.167 0 0 0 0.5 0 0.333 0 0 0 0.333 0 0.5 0 0.167 0.167 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0.167 0 0.167 0 5.333 0.667 0.833 0 1.333 0.333 0 0 1.667 0.167 0 0.167 0 0 0.667 0 0 0 0 0 0.5 0.333 0 0 7.167 3 0.167 0 0.333 0 0.667 0 0 0 0 0.167 0.167 0 0.167 0 0 0 0.333 0.167 0 0 0.5 0 0 0 0.333 0 0.5 0 0.333 0 0.333 0 0 0 0.833 0 0 0 0.333 0.167 1 0.333 0.167 0 0 0 0 0 1.5 0 6 0.167 0.167 0 0.833 0 0.167 0 0 0 6 "Control"
"7210" "CG12264" 0.333 0 0 0 0.333 0.667 0 0 0 0 0.333 0 1.667 0 0 0 0 0 1.333 0 0 0 0.333 0 1.667 1.333 0 0 0 0 0.333 0 0.333 0 0.667 0.667 0 0 0.333 0 0.667 0 0 0 0 0 0 0 0 0 1 0 0 0 0.333 0 0.333 0 0.667 0 0 0 0 0 0.667 0.667 0 0 0 0 0 0 0 0 0 0 0.667 0 6.667 0.333 0.333 0 0 0.667 0 0 0.333 0.333 0 0 0.333 0 0 0 0 0 0 0 1 0.667 0 0 9 2 0 0 0.667 0.333 0.667 0.333 0 0 0 0 0.333 0 0 0 0 0 0.333 0 0.667 0.333 0.333 0 0.333 0 1 0 0.333 0 0 0 0.667 0 0 0 0.667 0 0 0 0 0 0.667 1 0.333 0 0.333 0 0 0 0 0.333 5.667 1.333 0 0 1.333 0 0 0 0.333 0 3 "Control"
"737" "CG12301" 0 0 0 0 0 3 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 6 1 0 0 0 0 0 1 0 0 3 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 2 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 8 8 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 2 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 1 6 2 2 0 1 1 0 0 1 0 1 "Control"
"7410" "CG1231" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 6 2 0 0 0 0 3 1 2 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 5 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 7 2 0 0 3 0 0 0 0 0 1 "Control"
"752" "CG12379" 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 4 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 1 1 0 0 0 1 0 2 0 0 0 0 0 6 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 4 1 0 0 3 0 0 0 1 0 1 "Control"
"7610" "CG12420" 0 0 0 0 1.667 0 0 0 0.333 0 0.333 0 0 0 0 0 0.333 0.333 0.667 0 0.333 0 0 0 1.667 2.333 0 0 0 0 0.667 0 1.667 0 0.333 0 0 0 0.333 0 0.333 0 0 0 0 0.333 0 0 0 0 0.333 0 0 0 0 0 0 0 0 0 0.333 0 0 0 1 0.333 0.333 0 0 0 0 0 0 0 0 0 0 0.667 3.333 0 0 0 1 0.667 0 0 1 0.667 0.333 0 0.333 0 0 0 0 0 1 0 1 0.333 0 0 6 3 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0.333 0 0.667 0 0 0 0.333 0 0 0 0.333 0 0.667 0 0 0 0 0.333 0 0 0 0 1 0 0 0 0.667 0 0.667 1 0 0 0 0 0 0 0.333 0 3.667 0 0.333 0 0.667 0 0 0 0.667 0 3 "Control"
"776" "CG12499" 0.333 0 0 0 1.333 0.333 3.333 0 0 0 0 0 0 0 0 0 0 0 0 0.333 0.333 0 0 0 2.667 1.667 0.333 0 0 0.333 2 0.667 0 0 1.667 0 0 0 0 0 0 0 0 0 1.333 0 0 0 0.333 0 0.667 0 0 0 0.667 0 1.333 0 0.333 0 0 0 0 0 1 0 0 0 0 0 0.333 0 0.333 0.333 0 0 1.667 0.333 5.667 0.667 1.333 0 2.333 1 0.333 0 2 0.333 0 0 0.333 0 0 0 0 0 0 0 0.667 0.333 0.667 0 8.667 0.333 0 0 0.333 0 1.667 0 1 0 0 0 0.333 0 0.333 0 0 0 0.333 0 0.333 0 0.667 0 0.333 0.333 1.333 0 0 0.333 0 0.333 0 0.333 1 0 1.333 0 2.333 0 0 0.667 0 0.667 0 0 2 0 0 0 1.333 0 6.667 0.667 0.667 0 2 0.333 0 0 0 0 3 "Control"
"783" "CG12502" 0.25 0 0 0 0.75 0.25 0 0 0 0 0 0 0.5 0 0 0 0 0.25 0.75 0.5 0 0 0 0 2 1 0 0.25 0 0 1 0.5 0 0 0 0 0 0 0 0 0.75 0 0 0 0.25 0 0 0 0 0 0.25 0 0.25 0 0.25 0 0.5 0 0 0 0 0 0 0 0.25 0 0.25 0 0 0 0.25 0 0 0 0 0 0.75 0 1.25 0.25 0.25 0 1 0.75 0 0.25 0.5 0 0 0 0 0 0 0 0 0 0.25 0 0.75 0.75 0 0 2.5 0.25 0 0 0.5 0 0.5 0.25 0 0 0 0.25 0.5 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0.5 0.25 0 0 0 0 0 1.75 0 7.75 0.25 0.25 0 1.75 0.25 0 0 0 0 4 "Control"
"791" "CG12558" 1 0 0 0 5 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 5 1 0 1 1 0 5 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 10 2 1 0 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 11 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 6 0 0 0 1 0 0 0 0 0 1 "Control"
"806" "CG12662" 1 0 0 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0.5 0 0.5 0.5 0.5 0 1 0 0 0 0 0 1 0 1.5 0 1 0.5 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 1 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 1.5 1 0 0.5 0 0 0 0 0 3 1 0 0.5 0.5 0 0 0 0.5 0 2 "Control"
"8110" "CG12766" 0 0 0 0 1.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0.5 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 1 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 6.5 1 2 0 0.5 0.5 0 0 1.5 0 0.5 0 0 0 0 0 0 0 0 0 1.5 1 1 0 6.5 1.5 1 0 0 0 0 0 0 0 0 0 1 0 0.5 0 0 0 0.5 0.5 0 0 1.5 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 1 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 1 0 6 2.5 0.5 0 2 0 0 0 0 0 2 "Control"
"829" "CG1287" 1 0 0 0 4 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 4 2 1 0 2 0 2 0 0 0 2 2 0 0 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 6 1 2 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 11 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 5 1 0 0 0 0 0 0 1 0 13 3 2 0 2 0 0 0 0 0 1 "Control"
"8310" "CG12896" 0 0 0 0 1.333 0.667 0 0 0 0 0.333 0 0 0 0.333 1.333 0 0 1 0 0 0 0 0 1.333 2.667 0 0 0.333 0 0.333 0.333 0 0.333 0.333 1 0 0 0.333 0 1 1 0 0 0.333 0 0.333 0 0 0 0.333 0 0 0 0 0 0 0 0 0.333 0 0 0.333 0 0 0 0 0 0.333 0.667 0 0 0 0 0 0 0.333 0.333 5.333 0.333 0 0 0.333 0 0 0 1 0.667 0 0 0 0 0 0 0 0 0 0 0 0.333 0 0 4 3.333 0 0 0 1 0.333 0.667 0 0 0 0 0.333 0 0.667 0.667 0 0 0.667 0 0.667 0 0 0.333 0.333 0.333 0.333 0 0 0 0 0 0.667 0.333 0 0 1.333 0.333 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0.667 0.333 3 0.667 0 0 0.667 0.333 0 0 0.667 0 3 "Control"
"8410" "CG13036" 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 "Control"
"8510" "CG13046" 0 0 0 0 1 1 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 2 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 2 0 0 0 0 0 0 0 0.5 0.5 0 0 2 0 1.5 0 0 0 0.5 0 1 0 4 0.5 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5.5 1 0 0 0.5 0 0.5 0.5 1 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0.5 0.5 0 0 0 0 1 0 0 0 0.5 0 1.5 0 0.5 0.5 1.5 0.5 0 0 0 0.5 2 "Control"
"861" "CG13050" 0 0 0 0 1 1 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 2 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 2 0 0 0 0 0 0 0 0.5 0.5 0 0 2 0 1.5 0 0 0 0.5 0 1 0 4 0.5 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5.5 1 0 0 0.5 0 0.5 0.5 1 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0.5 0.5 0 0 0 0 1 0 0 0 0.5 0 1.5 0 0.5 0.5 1.5 0.5 0 0 0 0.5 2 "Control"
"871" "CG13116" 0 0 0 0 1 0 0 0 0.25 0 0 0.25 0.25 0 0 0 0.25 0 0.25 0 0.25 0 0 0 2.5 1 0.25 0 0 0 1.5 0.25 0.5 0 0.5 0 0.25 0 0 0 0.75 0.25 0 0 0.25 0.25 0 0 0.5 0 0.25 0 0 0 0 0 0.5 0 0 0 0 0 0.25 0 0.5 0 0.25 0 0.25 0 0 0 0.5 0 0.25 0 0.25 0.5 3.25 1.25 1.25 0 0.75 0 0.25 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 1 0.5 0.5 0 4.75 3.25 0 0 0.5 0 0.5 0 0.25 0.25 0 0 0.5 0 0.25 0 0 0 0.25 0 0.25 0 0.75 0 0.5 0.25 0 0 0.25 0 0.25 0.25 0.25 0 0 0.25 1 0 0 0 0.25 0.25 1 1 0.25 0 0 0 0.5 0 0.75 0.25 5 0.25 0.5 0 1 0.25 0.5 0 0.25 0 4 "Control"
"881" "CG13131" 0 0 0 0 4 1.5 0.5 0 0 0 0.5 0 0 0.5 0 0 0 0 2 0 0 0 0.5 0 4.5 2 0.5 0 0 0 3 0.5 0.5 0 1 0.5 0 0 0 0 2.5 0 0 0 0 1 0 0.5 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 1 0 0 0 0 0 0 0 0 0 0 0 0 16 2 1.5 0 1.5 1.5 0.5 0 1.5 1 0.5 0 0 0 0 0 0 0 0 0 1 0 0.5 0.5 13 7 0 0 0.5 0 1 1 0 0 0.5 0.5 0.5 0 0 0.5 0 0 0 0 0 0 2 0 0.5 0 1 0 0.5 0 0 0.5 0 0 0 0 2.5 0 0.5 0 0.5 0 3 0.5 0 0 0 0 0 0 4 0 15 8 0 0 5.5 1.5 0 0 0 0 2 "Control"
"891" "CG13272" 0.167 0 0 0 2.833 0.167 2.333 0 0 0 0 0 0.167 0 0 0 0 0 0.833 0 0 0 0.5 0 1 1 0 0 0 0 1.833 0 0 0 0.5 0 0 0 0 0 0.833 0.5 0.5 0 0.333 0 0 0 0.167 0 0 0 0.333 0 0 0 0.5 0 0.333 0 0 0 0.167 0 0.167 0.167 0 0 0 0 0 0 0 0 0 0 0.167 0.333 4.167 0.5 2 0 1.667 0.333 0.167 0 0.833 0.5 0 0 0 0 0.333 0 0 0 0 0 0.333 0.167 0 0 4.5 2.167 0.167 0 0.333 0.167 0.167 0 0.333 0.167 0 0 0.167 0 0.5 0.167 0 0 0.333 0 0.167 0 0.5 0.167 0.167 0 0.5 0 0.333 0 0 0.167 0 0.167 0.167 0 0.833 0.167 1.167 0 0 0.167 1.667 1.333 0.167 0 0 0 0 0 1 0.167 5.833 1.167 0.333 0 1.667 0.333 0 0 0 0 6 "Control"
"901" "CG13300" 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 2 3 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 3 2 3 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 2 0 9 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 13 7 0 0 2 1 0 0 0 0 1 "Control"
"911" "CG13428" 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 5 1 0 0 4 0 4 0 1 0 0 2 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 10 3 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 12 5 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 11 1 3 0 3 0 0 0 2 0 1 "Control"
"921" "CG13502" 0.25 0 0 0 0.25 0.25 0 0 0.25 0 0 0 0.25 0 1.25 0 0.5 0 0.75 0.25 0.25 0.25 0 0 1.75 1.5 0 0 0 0 2 0.5 0.25 0 0.25 0.25 0 0 0 0 2 0.25 0 0 0 0 0 0 0 0 0 0 0.25 0 0.25 0 1.25 0.25 0.25 0.25 0 0 0 0 0.25 0.25 0 0 0.5 0 0 0 0 0 0 0 1.5 0.75 7.75 0.25 1 0 0.75 0 0.25 0 0.75 0.25 0 0.25 0 0 0 0 0 0 0 0 0.75 1 0 0 7.5 3.5 0.25 0 0.25 0 0.25 0 0.25 0 0.25 0 0.25 0 0.25 0 0 0 0.5 0 0 0.25 1.25 0 0.25 0 0.5 0 0.5 0.25 0.5 0 0.5 0 0 0 1.25 0 0 0 0.25 0 1 1 0 0 0 0 0 0 2.25 0 5.75 1 0.25 0 2.5 0.5 0 0 0.5 0 4 "Control"
"931" "CG13704" 1 0 0 0 1 1 0 0 0 0 0.5 0 0 0.5 0 0 0 0 1 0.5 0 0 0 0 0.5 0 0 0 0.5 0 1.5 0 1 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.5 0.5 1.5 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0.5 0 0.5 0 1 0 8.5 1.5 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1.5 0.5 0 0 0 0 0 0 0.5 0 3 0.5 0 0 1.5 0 0.5 0 0 0 2 "Control"
"941" "CG13760" 0 0.2 0 0 2 1.2 0.4 0 0 0 0 0 0.2 0 0.4 0.6 0 0 1 0.4 0.2 0 0.8 0 0.8 2.8 0 0 0.4 0 0.6 0.2 0 0.2 0.8 0.2 0 0 0.2 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0.8 0 0 0 0 0.2 0.2 0.2 0 0 0 0.2 0 0 0 0 0 0 0.4 0 4.6 0.8 0.4 0 1 0.2 0.2 0 0.6 1 0.2 0 0 0 0 0 0 0 0.2 0 0.2 0.6 0 0 6.6 3.2 0 0 0 0 1 0 0.8 0 0 0 0.4 0.2 0.2 0 0 0 0 0 0 0 0.6 0 0 0.2 0.6 0.2 0.2 0 0 0 0.6 0 0 0.2 0.8 0.2 0.2 0 0.4 0 0.4 0.8 0.2 0 0.2 0.2 0 0 0.6 0 3.8 1.2 0.2 0 0.8 0.2 0 0 0 0 5 "Control"
"951" "CG13784" 0.333 0 0 0 1 0.667 0.333 0 0 0 0 0 0 0 0 0 0.333 0 0.667 0 0 0 0 0 1 1.333 0 0 0 0 1.667 0 0 0 0 0.667 0.333 0 0 0 1 1.333 0 0 0.667 0 0 0 0.333 0 0.667 0 0 0 1 0 0.667 0.333 0 0 0 0 0 0 0 0.333 0 0 0 0 0.333 0 0.333 0.333 0 0 0.667 1.333 6.333 1 1 0 0.333 1 1 0 1.667 0.333 0 0.333 0 0 0 0 0 0 0 0.333 0.667 1.667 1.333 0 8.333 3.667 0 0 0 0 0.333 0.667 0.667 0 0 0 0.333 0 0.333 0 0 0 0.333 0 0 0 1 0 0 0.333 0.333 0 0 0.667 0 0.333 0.333 0 0 0 2 0 0 0 0 0 1 0.333 0 0 0 0.333 0 0 2.333 0 6.667 1.333 0 0 3 0.333 0.333 0 0 0.333 3 "Control"
"961" "CG13884" 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 3 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 7 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 9 6 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 3 1 0 4 0 0 0 0 0 1 "Control"
"971" "CG13900" 0 0 0.143 0 0.571 0.286 0 0 0.286 0 0 0 0 0.143 0 0 0.286 0 1 0.429 0 0 0 0 0.429 1.286 0 0.143 0 0 0.857 0 0.429 0 0.429 0.714 0.143 0 0.286 0.143 0.571 0 0 0 0.286 0 0 0 0 0 0.286 0 0 0 0 0 1 0 0.143 0 0.143 0 0 0.143 0.143 0.286 0.143 0 0 0 0.143 0 0.286 0 0 0.143 0.286 0 3.857 0.571 0.571 0 0.143 0.714 0 0 0.429 0.429 0.143 0 0 0 0 0 0 0 0 0 0.429 0.571 0 0 4.571 1.286 0 0 0 0 0.143 0.429 0 0 0.143 0 0.286 0 0.429 0 0.286 0 0.143 0 0.143 0 0.286 0 0.286 0 0.143 0 0 0 0 0 0.143 0.286 0 0 0.571 0.143 0 0 0.286 0.143 1.143 0.714 0 0 0.286 0.429 0 0 1.143 0 4.429 1.429 0.143 0 1.714 0.143 0 0 0 0 7 "Control"
"981" "CG13907" 0.2 0 0 0 1 0.6 0.6 0 0.4 0.2 0.4 0 0 0.2 0 0 0.4 0 0.4 0.2 0 0 0.8 0 1.4 0.8 0 0.2 0.4 0 1.4 0.8 0 0 0.6 0.4 0.4 0 0 0 1.6 0 0 0 0.8 0 0 0 0.2 0 0.2 0 0.2 0 0.2 0 0.6 0 0.4 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 2.2 0.6 5.4 0.6 1 0.2 0.4 0 0 0 1.8 1 0 0 0.2 0 0 0 0.2 0 0 0 0.6 0.2 0 0 9.4 2.8 0 0 0.2 0.2 0.6 0 0.4 0 0 0 0.2 0.2 0.4 0.2 0 0 0.6 0 0 0 0.2 0 0.6 0 1 0 0 0 0 0 0 0 0.2 0 0.2 0 0.2 0 0.2 0 0.8 0 0 0 0 0 0 0 1.4 0 2.8 0.6 0.2 0 2.2 0.4 0.4 0 0.4 0 5 "Control"
